书名,作者,出版日期,出版社,原价,售价,折扣比例,排序,排行榜类型,推荐值,电子书价格,评论数
罪与罚（“俄罗斯文学天才”陀思妥耶夫斯基成名之作，人能从洁白,陀思妥耶夫斯基,2020-09-01,台海出版社,58.0,12.5,0.22000000000000003,447,2023年,99.9%,10.0,97401.0
我爱这星河滚烫的人间：梁永安、戴建业等全力推荐！去经历，去冒,韦娜,2022-04-01,水利水电出版社,49.8,39.9,0.8,454,2023年,100%,21.9,45399.0
从零开始学写作：18套写作变现法则,杨晓菁,2020-10-06,中国友谊出版公司,45.0,21.6,0.48,457,2023年,100%,9.4,65393.0
安徒生童话 三年级上册 语文教科书配套书目 人教版快乐读书吧,曹文轩,2019-08-01,人民教育出版社,25.0,12.0,0.48,458,2023年,100%,11.3,86407.0
基层女性,王慧玲,2021-07-31,中国友谊出版公司,49.8,24.9,0.5,459,2023年,100%,49.8,78253.0
素书 全2册 漫画智慧奇书 写给孩子的哲学启蒙 中国传统文化为人处,广东人民出版社,2023-09-01,广东人民出版社,70.0,19.6,0.27999999999999997,460,2023年,100%,12.4,52248.0
宝宝脾胃好，病不找（凤凰生活）,李爱科,2021-01-01,江苏凤凰科学技术出版社,36.0,25.8,0.72,461,2023年,100%,27.6,58717.0
【精装硬壳】全2册儿童趣味百科全书漫画版 十万个为什么幼儿版 幼,文彬,2021-01-01,长江出版社,220.0,19.5,0.09,462,2023年,100%,56.4,32114.0
半小时漫画红楼梦（专治没耐心读红楼梦，这回终于算是读完红楼梦,陈磊・半小时漫画团队,2023-06-05,文汇出版社,59.9,29.9,0.5,466,2023年,100%,59.9,24387.0
当下的力量（白金版）埃克哈特?托利经典之作，我们这个时代具有影,埃克哈特・托利,2022-04-19,中信出版社,59.0,29.5,0.5,467,2023年,100%,40.5,54874.0
快乐上等 女性怎样自在地活 《始于极限》《厌女》作者上野千鹤子,上野千鹤子,2023-02-01,北京联合出版有限公司,58.0,29.0,0.5,468,2023年,100%,52.8,26205.0
青：陪安东尼度过漫长岁月5,安东尼,2022-04-01,湖南文艺出版社,48.0,24.0,0.5,470,2023年,100%,22.8,84468.0
刘星辰重案笔记（省厅专家破案笔记。15年刑警生涯，16宗亲历重案,刑警刘星辰,2023-01-31,北京联合出版有限公司,52.0,35.8,0.6900000000000001,471,2023年,100%,36.9,21424.0
新版・长青藤国际大奖小说书系・第3辑：作文里的奇案,伊夫,2019-06-01,云南出版集团公司 晨光出版社,26.0,10.8,0.42000000000000004,472,2023年,100%,3.8,53284.0
叫魂：1768年中国妖术大恐慌（新版本）,孔飞力,2018-10-01,上海三联书店,48.0,26.4,0.55,473,2023年,99.8%,25.6,96413.0
经典常谈（《语文》八年级下推荐阅读，版本特别加入图解与注释，,朱自清,2019-08-01,三秦出版社,35.0,17.5,0.5,474,2023年,100%,32.0,46226.0
朝花夕拾(语文教材“名著导读”经典・七年级上。大语文理念打造：,鲁迅,2020-04-21,时代文艺出版社,26.0,10.1,0.39,475,2023年,100%,2.7,98224.0
蛤蟆先生去看心理医生：漫画版（造福万千家庭的心理学知识读本，,罗伯特・戴博德,2022-09-01,四川文艺出版社,48.0,24.0,0.5,477,2023年,100%,32.8,46307.0
我准备好上幼儿园了.你好幼儿园2-5岁入园早教启蒙行为指导小红花,北京小红花图书工作室,2018-08-01,中信出版社,54.8,27.4,0.5,480,2023年,100%,42.7,61429.0
做最勇敢的自己,妮古拉・金尼尔,2019-06-01,上海译文出版社,58.0,34.8,0.6,481,2023年,100%,37.8,75674.0
宋朝的腔调：苏轼、欧阳修、黄庭坚、辛弃疾、陆游、司马光・・・,石继航,2017-08-01,广东人民出版社,39.8,31.9,0.8,484,2023年,100%,18.5,91929.0
金波四季美文（注音美绘版）套装全4册,金波,2019-05-01,长江少年儿童出版社,100.0,55.0,0.55,485,2023年,100%,30.2,79159.0
鲁滨逊漂流记 六年级下册推荐阅读(中小学生课外阅读指导丛书)彩插,丹尼尔,2020-10-01,商务印书馆,22.8,10.2,0.45,488,2023年,100%,7.6,60328.0
克林索尔的最后夏天（诺贝尔文学奖得主黑塞自传式作品。）【果麦,赫尔曼・黑塞,2018-12-01,天津人民出版社,39.8,19.9,0.5,494,2023年,100%,42.0,84262.0
早起的奇迹,哈尔・埃尔罗德,2018-02-01,广东人民出版社,39.8,31.4,0.79,498,2023年,100%,20.0,93062.0
看见情绪价值：接住Ta的情绪，捧住Ta的心,苏菲雅,2022-09-18,中国妇女出版社,58.0,23.2,0.4,499,2023年,100%,35.0,40403.0
认知驱动：做成一件对他人很有用的事,周岭,2021-08-30,人民邮电出版社,59.8,29.9,0.5,500,2023年,100%,33.0,63204.0
