书名,作者,出版日期,出版社,原价,售价,折扣比例,排序,排行榜类型,推荐值,电子书价格,评论数
古代人的日常生活2（典藏版）（古代房价高吗？古人如何抗疫？古人,讲历史的王老师,2021-08-01,江苏凤凰文艺出版社,75.9,52.3,0.6900000000000001,138,2021年,100%,55.3,43851.0
世界博物馆奇妙之旅（全5册，为孩子打造的博物通识启蒙绘本，世界,徐晓燕,2019-08-01,浙江教育出版社,108.0,43.2,0.4,164,2021年,100%,23.1,97922.0
三十六计 小学生儿童文学三四五六年级7-9-10-12岁课外阅读书籍世,龚勋,2016-06-01,北京日报出版社,19.8,8.4,0.42000000000000004,177,2021年,100%,2.0,89381.0
字母表谜案 怪异君推荐！蒲熠星推荐!当你隐隐觉得不对劲，致命的,大山诚一郎,2021-04-30,河南文艺出版社,42.0,21.0,0.5,180,2021年,100%,13.0,75277.0
半小时漫画青春期：生理篇（从变声长痘到脸红心跳，笑着笑着解决,陈磊・半小时漫画团队,2021-07-30,天津科学技术出版社,49.0,31.85,0.65,185,2021年,100%,12.0,79408.0
列那狐的故事（本书补全了故事结局。小学语文“快乐读书吧”五年,M.H,2017-10-02,浙江工商大学出版社,19.0,7.4,0.39,187,2021年,100%,2.0,99552.0
克雷洛夫寓言（小学语文“快乐读书吧”三年级下阅读。俄罗斯文学,克雷洛夫,2018-01-01,浙江工商大学出版社,28.0,11.2,0.4,191,2021年,100%,2.1,83406.0
尼尔斯骑鹅历险记（小学语文“快乐读书吧”六年级下阅读。又译《,塞尔玛・拉格洛芙,2017-08-01,浙江工商大学出版社,27.0,18.6,0.6900000000000001,192,2021年,100%,1.3,72091.0
钢铁是怎样炼成的(语文教材“名著导读”经典・八年级下。大语文理,奥斯特洛夫斯基,2020-04-21,时代文艺出版社,44.0,18.5,0.42000000000000004,196,2021年,100%,11.8,66942.0
娜娜（左拉代表作之一，翻译家罗国林依据法语原著直译版）,左拉,2017-08-01,西安交通大学出版社,36.0,5.0,0.13999999999999999,228,2021年,99.9%,3.0,63246.0
一读就会用的分类成语故事（把成语用起来！随书附赠价值99元在线,歪歪兔童书馆,2020-05-01,海豚出版社,450.0,166.5,0.37,230,2021年,100%,325.2,64742.0
中国共产党简史（32开）2021党史学习教育系列读物领导干部学习指,,2021-02-25,人民出版社,42.0,21.0,0.5,232,2021年,100%,25.9,23789.0
名人传（语文教材“名著导读”经典・八年级下。大语文理念打造：,罗曼・罗兰,2020-04-30,时代文艺出版社,36.0,13.8,0.38,239,2021年,100%,8.5,53124.0
你是宇宙安排的邂逅（2021年张皓宸新书，短篇故事新作。9种相遇重,张皓宸,2021-06-01,四川文艺出版社,49.8,24.9,0.5,247,2021年,100%,49.8,75367.0
冰心经典套装（繁星春水+寄小读者+小橘灯，少年儿童读冰心的基础,冰心,2017-03-01,浙江工商大学出版社,65.0,14.3,0.22000000000000003,250,2021年,100%,13.8,58027.0
希望之线（东野圭吾新代表作，高分作品TOP5！）,东野圭吾,2021-04-01,南海出版公司,59.0,44.25,0.75,271,2021年,100%,26.3,56475.0
